id,label,timeset,d0
Act,Act,,131
Fired,Fired,,232
Report,Report,,125
Compromised,Compromised,,116
Data,Data,,1169
Enrollees,Enrollees,,108
Worse,Worse,,804
Originally,Originally,,240
Forms,Forms,,158
Reports,Reports,,286
Actors,Actors,,140
Exposed,Exposed,,170
Icit,Icit,,127
Security,Security,,1050
Clearance,Clearance,,351
Letter,Letter,,114
Info,Info,,571
Bad,Bad,,163
Officials,Officials,,181
Reported,Reported,,238
Opm,Opm,,565
Number,Number,,210
Read,Read,,205
Hacked,Hacked,,556
Victims,Victims,,127
Http,Http,,162
Prospecti,Prospecti,,212
Systems,Systems,,120
Govt,Govt,,341
Protecting,Protecting,,116
Hack,Hack,,250
Hackers,Hackers,,149
Million,Million,,256
Sensitive,Sensitive,,103
Today,Today,,120
Personal,Personal,,252
Present,Present,,220
Obamacare,Obamacare,,120
Accessed,Accessed,,142
Breach,Breach,,647
Thing,Thing,,118
People,People,,424
Breaches,Breaches,,101
