Source,Target,Type,id,label,timeset,weight
Big,Breach,Directed,650,,,1.0
Big,Risk,Directed,653,,,4.0
Risk,Management,Directed,655,,,49.0
Opm,Cyber,Directed,658,,,33.0
Opm,Hackers,Directed,660,,,1.0
Opm,House,Directed,661,,,3.0
Opm,Breach,Directed,662,,,31.0
Opm,Hack,Directed,663,,,34.0
Opm,Victims,Directed,664,,,5.0
Hack,Attack,Directed,666,,,5.0
Hack,Victims,Directed,670,,,15.0
Hack,Gov,Directed,671,,,2.0
Chinese,Attack,Directed,673,,,2.0
Chinese,Hackers,Directed,675,,,90.0
Chinese,Hack,Directed,676,,,12.0
Chinese,Gov,Directed,677,,,4.0
Chinese,Cyber,Directed,678,,,1.0
Reading,Opm,Directed,682,,,14.0
Reading,Victims,Directed,683,,,3.0
Reading,Credit,Directed,684,,,2.0
Security,Cyber,Directed,688,,,2.0
Security,Great,Directed,689,,,2.0
Hearing,Breach,Directed,690,,,3.0
Management,Opm,Directed,694,,,1.0
Management,Hackers,Directed,696,,,3.0
Management,Hack,Directed,697,,,1.0
Usg,Security,Directed,698,,,5.0
Hackers,Opm,Directed,699,,,8.0
Hackers,Hearing,Directed,700,,,1.0
Hackers,Cyber,Directed,701,,,124.0
Breach,Hearing,Directed,703,,,1.0
Breach,News,Directed,704,,,5.0
Breach,Opm,Directed,705,,,3.0
Breach,Victims,Directed,706,,,4.0
Breach,Personnel,Directed,707,,,1.0
Breach,Cyber,Directed,708,,,1.0
Victims,Protect,Directed,709,,,6.0
Victims,Chinese,Directed,711,,,3.0
Protect,Opm,Directed,712,,,11.0
Protect,Victims,Directed,713,,,24.0
Protect,Credit,Directed,714,,,2.0
Protect,Hackers,Directed,715,,,122.0
Protect,Cyber,Directed,716,,,1.0
Cyber,Attack,Directed,717,,,20.0
Cyber,Tips,Directed,718,,,124.0
Cyber,Risk,Directed,719,,,8.0
Cyber,Security,Directed,720,,,80.0
Cyber,Breach,Directed,721,,,9.0
Cyber,Opm,Directed,722,,,1.0
Cyber,Victims,Directed,723,,,23.0
House,Hearing,Directed,725,,,4.0
House,Personnel,Directed,726,,,12.0
News,Chinese,Directed,728,,,1.0
News,Great,Directed,729,,,11.0
Great,Big,Directed,730,,,1.0
Great,Chinese,Directed,731,,,2.0
Personnel,Management,Directed,733,,,46.0
Gov,Protect,Directed,734,,,2.0
Gov,Hack,Directed,736,,,2.0
Gov,Security,Directed,737,,,6.0
Gov,Personnel,Directed,738,,,3.0
