id,label,timeset,d0
Fingerprint,Fingerprint,,116
Affected,Affected,,632
Hackers,Hackers,,240
Americans,Americans,,104
Time,Time,,124
Cybersecurity,Cybersecurity,,103
Applied,Applied,,195
Http,Http,,125
Employee,Employee,,186
Fingerprints,Fingerprints,,981
Info,Info,,202
Ssn,Ssn,,578
Federal,Federal,,1433
People,People,,511
Breach,Breach,,297
Compromised,Compromised,,147
Dna,Dna,,276
Moms,Moms,,276
Fbi,Fbi,,102
Stole,Stole,,142
Address,Address,,305
Million,Million,,1759
Hack,Hack,,259
Give,Give,,133
Secrets,Secrets,,172
Opm,Opm,,380
Security,Security,,209
Millions,Millions,,168
Personal,Personal,,113
Job,Job,,243
Information,Information,,121
Records,Records,,167
Week,Week,,295
Stolen,Stolen,,787
Chinese,Chinese,,149
Employees,Employees,,567
Includes,Includes,,104
Government,Government,,1593
Workers,Workers,,248
Data,Data,,341
